bucket,count,date
5000,6,2016-05-01-13
6000,1,2016-05-01-13
7000,1,2016-05-01-13
8000,0,2016-05-01-13
9000,1,2016-05-01-13
1,0,2016-05-01-12
2,0,2016-05-01-12
3,0,2016-05-01-12
4,0,2016-05-01-12
5,0,2016-05-01-12
6,0,2016-05-01-12
7,0,2016-05-01-12
8,0,2016-05-01-12
9,2,2016-05-01-12
10,27,2016-05-01-12
20,42,2016-05-01-12
30,59,2016-05-01-12
40,52,2016-05-01-12
50,52,2016-05-01-12
60,33,2016-05-01-12
70,22,2016-05-01-12
80,23,2016-05-01-12
90,14,2016-05-01-12
100,206,2016-05-01-12
200,171,2016-05-01-12
300,139,2016-05-01-12
400,39,2016-05-01-12
500,19,2016-05-01-12
600,17,2016-05-01-12
700,12,2016-05-01-12
800,6,2016-05-01-12
900,6,2016-05-01-12
1000,16,2016-05-01-12
2000,5,2016-05-01-12
3000,5,2016-05-01-12
4000,1,2016-05-01-12
5000,0,2016-05-01-12
6000,0,2016-05-01-12
7000,1,2016-05-01-12
8000,2,2016-05-01-12
9000,3,2016-05-01-12
1,0,2016-05-01-23
2,0,2016-05-01-23
3,0,2016-05-01-23
4,0,2016-05-01-23
5,0,2016-05-01-23
6,1,2016-05-01-23
7,0,2016-05-01-23
8,1,2016-05-01-23
9,2,2016-05-01-23
10,21,2016-05-01-23
20,61,2016-05-01-23
30,116,2016-05-01-23
40,86,2016-05-01-23
50,104,2016-05-01-23
60,69,2016-05-01-23
70,62,2016-05-01-23
80,54,2016-05-01-23
90,40,2016-05-01-23
100,326,2016-05-01-23
200,286,2016-05-01-23
300,296,2016-05-01-23
400,89,2016-05-01-23
500,44,2016-05-01-23
600,31,2016-05-01-23
700,21,2016-05-01-23
800,11,2016-05-01-23
900,10,2016-05-01-23
1000,39,2016-05-01-23
2000,20,2016-05-01-23
3000,12,2016-05-01-23
4000,13,2016-05-01-23
5000,4,2016-05-01-23
6000,1,2016-05-01-23
7000,2,2016-05-01-23
8000,3,2016-05-01-23
9000,1,2016-05-01-23
1,0,2016-05-01-14
2,0,2016-05-01-14
3,0,2016-05-01-14
4,0,2016-05-01-14
5,0,2016-05-01-14
6,0,2016-05-01-14
7,0,2016-05-01-14
8,0,2016-05-01-14
9,0,2016-05-01-14
10,22,2016-05-01-14
20,45,2016-05-01-14
30,61,2016-05-01-14
40,64,2016-05-01-14
50,48,2016-05-01-14
60,40,2016-05-01-14
70,33,2016-05-01-14
80,28,2016-05-01-14
90,16,2016-05-01-14
100,218,2016-05-01-14
200,156,2016-05-01-14
300,158,2016-05-01-14
400,35,2016-05-01-14
500,20,2016-05-01-14
600,8,2016-05-01-14
700,10,2016-05-01-14
800,7,2016-05-01-14
900,9,2016-05-01-14
1000,36,2016-05-01-14
2000,8,2016-05-01-14
3000,4,2016-05-01-14
4000,6,2016-05-01-14
5000,1,2016-05-01-14
6000,1,2016-05-01-14
7000,1,2016-05-01-14
8000,2,2016-05-01-14
9000,1,2016-05-01-14
1,0,2016-05-03-13
2,1,2016-05-03-13
3,1,2016-05-03-13
4,2,2016-05-03-13
5,2,2016-05-03-13
6,5,2016-05-03-13
7,9,2016-05-03-13
8,5,2016-05-03-13
9,6,2016-05-03-13
10,188,2016-05-03-13
20,345,2016-05-03-13
30,384,2016-05-03-13
40,418,2016-05-03-13
50,384,2016-05-03-13
60,378,2016-05-03-13
70,276,2016-05-03-13
80,241,2016-05-03-13
90,192,2016-05-03-13
100,1943,2016-05-03-13
200,1507,2016-05-03-13
300,1183,2016-05-03-13
400,381,2016-05-03-13
500,250,2016-05-03-13
600,151,2016-05-03-13
700,106,2016-05-03-13
800,79,2016-05-03-13
900,56,2016-05-03-13
1000,258,2016-05-03-13
2000,101,2016-05-03-13
3000,48,2016-05-03-13
4000,42,2016-05-03-13
5000,24,2016-05-03-13
6000,18,2016-05-03-13
7000,15,2016-05-03-13
8000,11,2016-05-03-13
9000,5,2016-05-03-13
1,0,2016-05-03-15
2,0,2016-05-03-15
3,0,2016-05-03-15
4,0,2016-05-03-15
5,3,2016-05-03-15
6,3,2016-05-03-15
7,1,2016-05-03-15
8,8,2016-05-03-15
9,6,2016-05-03-15
10,204,2016-05-03-15
20,431,2016-05-03-15
30,477,2016-05-03-15
40,456,2016-05-03-15
50,395,2016-05-03-15
60,363,2016-05-03-15
70,335,2016-05-03-15
80,236,2016-05-03-15
90,201,2016-05-03-15
100,1982,2016-05-03-15
200,1331,2016-05-03-15
300,1169,2016-05-03-15
400,401,2016-05-03-15
500,234,2016-05-03-15
600,167,2016-05-03-15
700,124,2016-05-03-15
800,83,2016-05-03-15
900,73,2016-05-03-15
1000,253,2016-05-03-15
2000,132,2016-05-03-15
3000,42,2016-05-03-15
4000,56,2016-05-03-15
5000,32,2016-05-03-15
6000,13,2016-05-03-15
7000,11,2016-05-03-15
8000,11,2016-05-03-15
9000,9,2016-05-03-15
1,0,2016-05-01-17
2,0,2016-05-01-17
3,0,2016-05-01-17
4,0,2016-05-01-17
5,0,2016-05-01-17
6,1,2016-05-01-17
7,0,2016-05-01-17
8,0,2016-05-01-17
9,1,2016-05-01-17
10,27,2016-05-01-17
20,40,2016-05-01-17
30,56,2016-05-01-17
40,61,2016-05-01-17
50,56,2016-05-01-17
60,43,2016-05-01-17
70,33,2016-05-01-17
80,16,2016-05-01-17
